target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.CZ3U7F.1	1248	1067.6	151.429	1.83099
arahy.Tifrunner.gnm2.ann1.4JBV7I.1	1557	1376.6	0	0
arahy.Tifrunner.gnm2.ann1.U3ELQH.1	1335	1154.6	0	0
arahy.Tifrunner.gnm2.ann1.K8VWCH.1	675	494.964	156	4.06855
arahy.Tifrunner.gnm2.ann1.6Y2RBK.1	1281	1100.6	1	0.0117289
arahy.Tifrunner.gnm2.ann1.0IT1NR.1	1890	1709.6	752.432	5.68147
arahy.Tifrunner.gnm2.ann1.ET9IK9.1	357	180.526	0	0
arahy.Tifrunner.gnm2.ann1.EU7MKH.1	2478	2297.6	21.0905	0.118495
arahy.Tifrunner.gnm2.ann1.Y12SSB.1	2343	2162.6	7.82221	0.0466918
arahy.Tifrunner.gnm2.ann1.GSAX37.1	192	45.0888	0	0
arahy.Tifrunner.gnm2.ann1.9QDW33.1	477	297.502	0	0
arahy.Tifrunner.gnm2.ann1.0ZR0UF.1	720	539.911	0	0
arahy.Tifrunner.gnm2.ann1.P9L48X.1	2091	1910.6	37.428	0.25288
arahy.Tifrunner.gnm2.ann1.B9ZYY9.1	336	160.961	0	0
arahy.Tifrunner.gnm2.ann1.SD5K22.1	639	458.988	0	0
arahy.Tifrunner.gnm2.ann1.DXS72A.1	831	650.777	1903.32	37.7544
arahy.Tifrunner.gnm2.ann1.716FEW.1	378	200.501	0	0
arahy.Tifrunner.gnm2.ann1.Z1QYPE.1	2556	2375.6	2.25665	0.0122625
arahy.Tifrunner.gnm2.ann1.9A3CPP.1	1923	1742.6	0	0
arahy.Tifrunner.gnm2.ann1.4I2UMQ.1	2403	2222.6	0	0
arahy.Tifrunner.gnm2.ann1.B5SVB5.1	606	426.021	0	0
arahy.Tifrunner.gnm2.ann1.B7IPL1.1	990	809.625	20	0.318886
arahy.Tifrunner.gnm2.ann1.L6LFU0.2	1776	1595.6	13.9392	0.112772
arahy.Tifrunner.gnm2.ann1.G7J9WL.1	786	605.825	13.0345	0.277738
arahy.Tifrunner.gnm2.ann1.YY6LCE.1	882	701.643	78.5396	1.44498
arahy.Tifrunner.gnm2.ann1.XVFR0N.1	243	80.4568	90	14.44
arahy.Tifrunner.gnm2.ann1.IXK305.1_arahy.Tifrunner.gnm2.ann1.VB8FSW.1	1470	1289.6	43	0.430428
arahy.Tifrunner.gnm2.ann1.TFIN41.1	1080	899.605	647.149	9.28628
arahy.Tifrunner.gnm2.ann1.K6L3AX.2	1491	1310.6	184	1.81232
arahy.Tifrunner.gnm2.ann1.CHY9ZA.1	1401	1220.6	0	0
arahy.Tifrunner.gnm2.ann1.T8JHIW.1	237	75.7945	3.78057	0.643886
arahy.Tifrunner.gnm2.ann1.ZJHB6X.1	810	629.825	0	0
