target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAt_g14683	909	729.98	46	0.726663
AsAa_g1192	2388	2208.93	596.318	3.11303
AsAa_g15644	1068	888.926	353	4.57926
AsAa_g13654	582	403.055	123.15	3.52334
AsAa_g4776	1410	1230.93	240.083	2.24913
AsAt_g4509	933	753.98	2	0.0305884
AsAa_g9318	882	702.98	0	0
AsAt_g20929	1107	927.926	0	0
AsAt_g1319	2313	2133.93	5244.6	28.3412
AsAt_g8812	1053	873.926	1	0.0131951
AsAt_g11324	1608	1428.93	8	0.0645604
AsAt_g534	468	289.472	12	0.478036
AsAt_g2764	2934	2754.93	339	1.41898
AsAa_g2416	771	591.98	233.56	4.54964
AsAa_g1728	279	110.921	0	0
AsAa_g14649	1056	876.926	291.446	3.8325
AsAa_g1656	2109	1929.93	588.297	3.51514
AsAa_g8202	1734	1554.93	448.655	3.32728
AsAt_g18727	2871	2691.93	491.16	2.104
AsAa_g21587	303	131.579	360	31.5501
AsAa_g11860	2646	2466.93	225.928	1.05609
AsAt_g17660	612	433.026	29	0.772271
AsAt_g3147	1653	1473.93	204.301	1.59838
AsAa_g9171	1278	1098.93	160.391	1.68305
AsAt_g4672	501	322.25	193.076	6.90908
AsAa_g16097	666	486.98	1090	25.8108
AsAt_g3024	1617	1437.93	99	0.793935
AsAa_g17556	1458	1278.93	1	0.00901655
AsAt_g13212	1410	1230.93	324	3.03528
AsAa_g11272	1239	1059.93	0	0
AsAt_g6599	819	639.98	153	2.75684
AsAt_g15311	1599	1419.93	5	0.040606
AsAt_g266	534	355.093	0	0
AsAa_g4371	414	236.294	0	0
AsAt_g18662	900	720.98	5	0.0799711
AsAa_g17213	1710	1530.93	996.642	7.50708
AsAa_g12974	762	582.98	1	0.0197803
AsAa_g11262	1743	1563.93	0	0
AsAa_g5815	1719	1539.93	5	0.0374418
AsAa_g8335	2025	1845.93	109	0.680923
AsAt_g18995	702	522.98	78	1.71987
AsAa_g7663	243	82.5385	0	0
AsAt_g5625	1233	1053.93	0	0
AsAt_g18297	2724	2544.93	244	1.10561
AsAt_g13156	273	105.947	19	2.068
AsAt_g20486	1359	1179.93	102.363	1.0004
AsAt_g9930	882	702.98	14	0.229652
AsAa_g21575	2586	2406.93	149	0.713854
AsAa_g9459	1518	1338.93	126	1.08518
AsAa_g1271	1095	915.926	423.025	5.32589
AsAt_g13514	3243	3063.93	330.791	1.24498
AsAt_g15359	369	192.615	297.696	17.8225
AsAt_g1536	984	804.954	960.766	13.7636
AsAa_g4190	3435	3255.93	583.101	2.06517
AsAt_g22124	873	693.98	0	0
AsAa_g11160	3018	2838.93	75	0.304644
AsAt_g8237	5112	4932.93	976.99	2.28387
AsAa_g20908	849	669.98	33	0.567987
